Prd_Nr,Swissmedic_Nr,Swissmedic_Nm,Abgabekategorie
111058,55738,"Aggrastat, Infusionslösung",A
1620070,69083,"Agilus 120 mg, Pulver zur Herstellung einer Injektionslösung",B
382,26821,"Agiolax mit Senna, Granulat",B
1256981,26821,"Agiolax mit Senna, Granulat",D
1468378,42933,"Agiolax mite, Granulat",D
1453328,67423,"Agomelatin Spirig HC 25 mg, Filmtabletten",B
1454219,67666,"Agomelatin Zentiva 25 mg, Filmtabletten",B
1443245,67502,"Agomelatin-Mepha 25 mg, Filmtabletten",B
1426462,67631,"Agomelatin-Servier 25 mg, comprimé pelliculé",B
54877,51969,"Agopton 15 mg, magensaftresistente Hartkapseln",B
54892,51969,"Agopton 30 mg, magensaftresistente Hartkapseln",B
1123164,60199,"Agropyron comp., Solutio ad injectionem",B
1420630,66748,"Aimovig 140 mg/ml, Injektionslösung im Fertigpen",B
1390889,66748,"Aimovig 70 mg/ml, Injektionslösung im Fertigpen",B
1451044,67843,"AJOVY 225 mg, Injektionslösung im Fertigpen",B
1430984,67284,"AJOVY 225 mg, Injektionslösung in einer Fertigspritze",B
1561696,68977,"Akeega 100 mg/500 mg, Filmtabletten",A
1561695,68977,"Akeega 50 mg/500 mg, Filmtabletten",A
86357,54937,"Akineton retard, compresse",B
630,24036,"Akineton, compresse",B
629,24035,"Akineton, soluzione iniettabile",B
1459067,67632,"Aklief, Crème",B
672,48142,"Akne-mycin 2000, Salbe",B
671,46084,"Akne-mycin, Lösung",B
1193118,33005,"Aknichthol, Suspension",D
31828,51303,"Aknilox 2%, Gel",B
31829,51303,"Aknilox 4%, Gel",B
34914,50847,"Akutur, Tropfen zum Einnehmen",D
1300944,65499,"Akynzeo 300mg/0.5mg, capsule",B
1502229,68290,"Akynzeo IV 235 mg / 0.25 mg, Konzentrat zur Herstellung einer Infusionslösung",B
1232624,62687,"Alacare 2 mg/cm2, wirkstoffhaltiges Pflaster",B
31439,51860,"Albicansan D3, Salbe",D
31438,51861,"Albicansan D3, Zäpfchen",D
31440,51859,"Albicansan D4, Kapseln",D
31441,51858,"Albicansan D5, Injektionslösung",B
31442,51255,"Albicansan D5, Tropfen zum Einnehmen",D
1378099,65562,"Albumin Biotest 20%, Infusionslösung",B
1378100,65562,"Albumin Biotest 20%, Infusionslösung",B
1378098,65562,"Albumin Biotest 5%, Infusionslösung",B
1079573,52476,"Albumin CSL 20%, Infusionslösung",B
1233648,52476,"Albumin CSL 20%, Infusionslösung",B
1233649,52476,"Albumin CSL 5%, Infusionslösung",B
1233650,52476,"Albumin CSL 5%, Infusionslösung",B
1219797,62660,"Albunorm 20 %, Lösung zur intravenösen Infusion",B
1233164,62660,"Albunorm 20 %, Lösung zur intravenösen Infusion",B
1219796,62660,"Albunorm 5 %, Lösung zur intravenösen Infusion",B
1233165,62660,"Albunorm 5 %, Lösung zur intravenösen Infusion",B
1233166,62660,"Albunorm 5 %, Lösung zur intravenösen Infusion",B
720,33124,"Alca-C, Brausetabletten",D
45573,37516,"Alcaine, Augentropfen",B
921,27257,"Aldactone 100 mg, Filmtabletten",B
919,27257,"Aldactone 25 mg, Filmtabletten",B
920,27257,"Aldactone 50 mg, Filmtabletten",B
80675,55070,"Aldara 5 %, Crème",A
931,28080,"Aldomet 250, Filmtabletten",B
1344610,65970,"Alecensa 150 mg, Hartkapseln",A
1351504,57957,"Alendronat Sandoz 70, Filmtabletten",B
1221411,58036,"Alendronat Spirig HC 70 mg, Tabletten",B
1063248,57768,"Alendron-Mepha 70 mg, Filmtablette",B
95497,53810,"Aleve, Filmtabletten",D
1112781,59415,"Alfuzosin axapharm, Retardtabletten",B
1036700,57442,"Alfuzosin Sandoz 10 mg, Retardtabletten",B
1187467,57846,"Alfuzosine Uno Zentiva 10 mg, Retardtabletten",B
1462168,68138,"Alfuzosin-Mepha retard, Retardtabletten",B
1630972,69537,"Alges-X forte Liquid Caps 400 mg, Weichkapseln",D
1072734,58313,"Alges-X forte, Filmtabletten",D
1408554,66943,"Alges-X L forte, Filmtabletten",D
1408553,66943,"Alges-X L, Filmtabletten",D
1424660,67737,"Algifor Dolo Duo 500mg/150mg, Filmtabletten",D
1424661,67737,"Algifor Dolo Duo 500mg/150mg, Filmtabletten",D
1476703,65916,"Algifor Dolo forte 200 mg / 5 ml, Suspension",D
1500790,65916,"Algifor Dolo forte 200 mg / 5 ml, Suspension",D
1500789,65916,"Algifor Dolo forte 400 mg / 10 ml, Suspension",D
1287064,58834,"Algifor Dolo Junior, Suspension",D
1283312,65608,"Algifor Dolo Junior, Suspension, Sachets",D
1483392,68264,"Algifor Dolo Rhinogrippal 200 mg / 30 mg, gélules",D
1483819,68264,"Algifor Dolo Rhinogrippal 200 mg / 30 mg, gélules",D
1483719,56046,"Algifor Junior, Suspension",B
1299116,65372,"Algifor Liquid caps 400, Capsule de gélatine molle",D
1058987,55766,"Algifor-L 200, comprimés filmés",D
1057681,55766,"Algifor-L forte 400, comprimés filmés",D
1412644,54997,"Algifor-L forte 400, granulé",D
1555621,68844,"Alhemo 150 mg/1.5 ml, Injektionslösung im Fertigpen",A
1555620,68844,"Alhemo 60 mg/1.5 ml, Injektionslösung im Fertigpen",A
1091555,57039,"Alimta 100 mg, Lyophilisat pour solution de perfusion",A
1013264,57039,"Alimta 500 mg, Lyophilisat pour solution de perfusion",A
1523547,68818,"Alitrecutan 10 mg, Weichkapseln",A
1523548,68818,"Alitrecutan 30 mg, Weichkapseln",A
1543055,68836,"Alitretinoin Leman 10 mg, capsules molles",A
1543056,68836,"Alitretinoin Leman 30 mg, capsules molles",A
1006,8671,"Alka-Seltzer, Brausetabletten",D
107211,30897,"Alkeran 2 mg, Filmtabletten",A
1013,52193,"Alkeran, Pulver und Lösungsmittel zur Herstellung einer Injektions-/Infusionslösung",A
1488268,68226,"Alkindi 0.5 mg, Granulat zum Einnehmen",B
1488269,68226,"Alkindi 1 mg, Granulat zum Einnehmen",B
1488270,68226,"Alkindi 2 mg, Granulat zum Einnehmen",B
1488271,68226,"Alkindi 5 mg, Granulat zum Einnehmen",B
110834,55670,"Allergo-COMOD, Augentropfen",D
37516,51257,"Allergodil Nasenspray, Lösung",B
1366647,65425,"Allergodil saisonal forte 0,15%, Nasenspray",D
1000965,56724,"Allergodil saisonal, Augentropfen",D
1006145,52803,"Allergodil, Augentropfen",B
1167074,60633,"Allergovit Alnus Kombipackung, Injektionssuspension",A
1177251,60633,"Allergovit Alnus Stärke B, Injektionssuspension",A
1166665,60624,"Allergovit Alnus/Corylus Kombipackung, Injektionssuspension",A
1177246,60624,"Allergovit Alnus/Corylus Stärke B, Injektionssuspension",A
1167149,60641,"Allergovit Artemisia Kombipackung, Injektionssuspension",A
1177280,60641,"Allergovit Artemisia Stärke B, Injektionssuspension",A
1167150,60642,"Allergovit Betula Kombipackung, Injektionssuspension",A
1177281,60642,"Allergovit Betula Stärke B, Injektionssuspension",A
1167078,60636,"Allergovit Betula/Alnus/Corylus Kombipackung, Injektionssuspension",A
1177249,60636,"Allergovit Betula/Alnus/Corylus Stärke B, Injektionssuspension",A
1167147,60639,"Allergovit Corylus Kombipackung, Injektionssuspension",A
1177279,60639,"Allergovit Corylus Stärke B, Injektionssuspension",A
1167016,60628,"Allergovit Mixtura Graminea 60/Secale 40 Kombipackung, Injektionssuspension",A
1177252,60628,"Allergovit Mixtura Graminea 60/Secale 40 Stärke B, Injektionssuspension",A
1167066,60631,"Allergovit Mixtura Graminea Kombipackung, Injektionssuspension",A
1177254,60631,"Allergovit Mixtura Graminea Stärke B, Injektionssuspension",A
1166581,60621,"Allergovit Mixtura Graminea/Artemisia/Secale Kombipackung, Injektionssuspension",A
1177262,60621,"Allergovit Mixtura Graminea/Artemisia/Secale Stärke B, Injektionssuspension",A
1166591,60623,"Allergovit Mixtura Graminea/Betula/Secale Kombipackung, Injektionssuspension",A
1177255,60623,"Allergovit Mixtura Graminea/Betula/Secale Stärke B, Injektionssuspension",A
1167075,60634,"Allergovit Mixtura Graminea/Betula/Secale/Plantago Kombipackung, Injektionssuspension",A
1177242,60634,"Allergovit Mixtura Graminea/Betula/Secale/Plantago Stärke B, Injektionssuspension",A
1167079,60637,"Allergovit Mixtura Graminea/Secale/Plantago Kombipackung, Injektionssuspension",A
1177250,60637,"Allergovit Mixtura Graminea/Secale/Plantago Stärke B, Injektionssuspension",A
1167058,60630,"Allergovit Mixtura Graminea-Cerealis Kombipackung, Injektionssuspension",A
1177253,60630,"Allergovit Mixtura Graminea-Cerealis Stärke B, Injektionssuspension",A
1167012,60627,"Allergovit Mixtura Graminea-Cerealis/Betula Kombipackung, Injektionssuspension",A
1177248,60627,"Allergovit Mixtura Graminea-Cerealis/Betula Stärke B, Injektionssuspension",A
1167006,60625,"Allergovit Mixtura Graminea-Cerealis/Plantago Kombipackung, Injektionssuspension",A
1177244,60625,"Allergovit Mixtura Graminea-Cerealis/Plantago Stärke B, Injektionssuspension",A
1167148,60640,"Allergovit Parietaria Kombipackung, Injektionssuspension",A
1177282,60640,"Allergovit Parietaria Stärke B, Injektionssuspension",A
1167068,60632,"Allergovit Plantago Kombipackung, Injektionssuspension",A
1177243,60632,"Allergovit Plantago Stärke B, Injektionssuspension",A
1167145,60638,"Allergovit Secale Kombipackung, Injektionssuspension",A
1177278,60638,"Allergovit Secale Stärke B, Injektionssuspension",A
1363063,66261,"Allergo-X, Filmtabletten",D
1628761,69987,"Allerxtin Sandoz 20 mg, Tabletten",D
1219834,60310,"Allium cepa/Tendo comp., Solutio ad injectionem",B
1040,38398,"Allopur 100 mg, Tabletten",B
1041,38398,"Allopur 300 mg, Tabletten",B
1424086,56050,"Allopurinol Zentiva 100 mg, Tabletten",B
1424087,56050,"Allopurinol Zentiva 300 mg, Tabletten",B
1320036,58129,"Allopurinol-Mepha 100 mg, Tabletten",B
1320037,58129,"Allopurinol-Mepha 300 mg, Tabletten",B
64686,54110,"Allsan Mariendistel, Filmtabletten",D
1488023,68145,"Alluzience, Injektionslösung",A
1019636,56895,"Almogran, Filmtabletten",B
43610,51853,"Alopexy 2%, Lösung zur Anwendung auf der Haut",D
1454753,67747,"Alopexy 5%, Lösung zur Anwendung auf der Haut",D
1242773,62952,"Aloxi 500 microgrammes, capsule molle",B
1049709,57042,"Aloxi, solution injectable",B
56619,47912,Alpenaflor Arnika-Gel,E
56620,47913,Alpenaflor Franzbranntwein-Gel,D
72833,54605,"Alphagan, Augentropfen",B
1113,42684,"Alpicort F, Lösung",B
1178829,47762,"Alpinamed Arnica-Gel mit Spilanthes, Gel",D
1178831,49147,Alpinamed Ruscovarin Venen Gel,D
1178832,46474,"Alpinamed Wallwurz-Gel, Gel",D
1333243,66039,"Alprolix 1000 IE, Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1333244,66039,"Alprolix 2000 IE, Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1333241,66039,"Alprolix 250 IE, Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1392693,66039,"Alprolix 3000 IE, Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1333242,66039,"Alprolix 500 IE, Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1624780,69436,"Altuvoct 1000 I.E., Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1624781,69436,"Altuvoct 2000 I.E., Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1624778,69436,"Altuvoct 250 I.E., Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1624782,69436,"Altuvoct 3000 I.E., Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1624783,69436,"Altuvoct 4000 I.E., Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1624779,69436,"Altuvoct 500 I.E., Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1134,36355,"Alucol Fruchtaroma, Gel",D
1470886,66738,"Alunbrig 180 mg, Filmtabletten",A
1470887,66738,"Alunbrig 180 mg, Filmtabletten",A
1470884,66738,"Alunbrig 30 mg, Filmtabletten",A
1470885,66738,"Alunbrig 90 mg, Filmtabletten",A
1159755,60698,"Alutard SQ Apis mellifera Kombipackung, Depotsuspension zur Injektion",A
1159804,60711,"Alutard SQ Betula verrucosa Kombipackung, Depotsuspension zur Injektion",A
1159800,60710,"Alutard SQ Canis familiaris Kombipackung, Depotsuspension zur Injektion",A
1159761,60700,"Alutard SQ Felis domesticus Kombipackung, Depotsuspension zur Injektion",A
1194289,60700,"Alutard SQ Felis domesticus Kombipackung, Depotsuspension zur Injektion",A
1159759,60699,"Alutard SQ Milben-Mischung Kombipackung, Depotsuspension zur Injektion",A
1159767,60702,"Alutard SQ Phleum pratense Kombipackung, Depotsuspension zur Injektion",A
1159770,60706,"Alutard SQ Vespula spp. Kombipackung, Depotsuspension zur Injektion",A
1194287,60698,"Alutard SQ-U 100'000 Apis mellifera, Depotsuspension zur Injektion",A
1194353,60711,"Alutard SQ-U 100'000 Betula verrucosa, Depotsuspension zur Injektion",A
1194352,60710,"Alutard SQ-U 100'000 Canis familiaris, Depotsuspension zur Injektion",A
